,precision,recall,f1-score,support
patient001,1.0,1.0,1.0,1.0
patient004,0.5,1.0,0.6666666666666666,1.0
patient007,0.5,0.5,0.5,2.0
patient009,0.0,0.0,0.0,0.0
patient011,1.0,0.5,0.6666666666666666,2.0
patient012,1.0,1.0,1.0,2.0
patient013,1.0,1.0,1.0,1.0
patient014,0.0,0.0,0.0,1.0
patient015,1.0,1.0,1.0,3.0
patient016,1.0,1.0,1.0,1.0
patient018,1.0,1.0,1.0,1.0
patient019,0.5,0.3333333333333333,0.4,3.0
patient021,0.5,0.5,0.5,2.0
patient022,1.0,1.0,1.0,1.0
patient023,1.0,1.0,1.0,2.0
patient024,1.0,1.0,1.0,1.0
patient025,1.0,1.0,1.0,2.0
patient027,0.0,0.0,0.0,1.0
patient031,1.0,1.0,1.0,2.0
patient034,0.5,0.5,0.5,2.0
patient035,0.0,0.0,0.0,1.0
patient036,1.0,1.0,1.0,2.0
patient038,1.0,1.0,1.0,1.0
patient039,1.0,1.0,1.0,1.0
patient040,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
patient043,1.0,0.6666666666666666,0.8,3.0
patient045,0.0,0.0,0.0,1.0
patient047,1.0,1.0,1.0,2.0
patient048,0.0,0.0,0.0,1.0
patient049,0.0,0.0,0.0,1.0
patient050,0.25,1.0,0.4,1.0
patient051,0.0,0.0,0.0,1.0
patient052,1.0,1.0,1.0,1.0
patient053,1.0,1.0,1.0,1.0
patient054,0.0,0.0,0.0,2.0
patient055,1.0,1.0,1.0,1.0
patient057,1.0,1.0,1.0,1.0
patient058,1.0,1.0,1.0,1.0
patient062,1.0,1.0,1.0,1.0
patient063,1.0,1.0,1.0,1.0
patient064,1.0,1.0,1.0,4.0
patient065,0.0,0.0,0.0,1.0
patient066,1.0,0.5,0.6666666666666666,2.0
patient067,1.0,1.0,1.0,1.0
patient068,0.75,1.0,0.8571428571428571,3.0
patient069,1.0,1.0,1.0,1.0
patient070,1.0,1.0,1.0,1.0
patient071,0.3333333333333333,1.0,0.5,1.0
patient072,1.0,1.0,1.0,1.0
patient074,0.0,0.0,0.0,3.0
patient075,0.5,1.0,0.6666666666666666,1.0
patient076,1.0,0.5,0.6666666666666666,2.0
patient077,1.0,1.0,1.0,2.0
patient078,0.0,0.0,0.0,1.0
patient079,0.0,0.0,0.0,1.0
patient080,0.0,0.0,0.0,0.0
patient081,0.5,1.0,0.6666666666666666,2.0
patient083,0.25,1.0,0.4,1.0
patient085,0.6666666666666666,1.0,0.8,2.0
patient086,1.0,1.0,1.0,3.0
patient087,1.0,1.0,1.0,2.0
patient088,0.0,0.0,0.0,2.0
patient089,1.0,1.0,1.0,1.0
patient090,0.5,0.3333333333333333,0.4,3.0
patient091,1.0,1.0,1.0,2.0
patient092,0.0,0.0,0.0,0.0
patient093,0.0,0.0,0.0,3.0
patient094,0.5,1.0,0.6666666666666666,1.0
patient096,1.0,0.5,0.6666666666666666,2.0
patient097,0.0,0.0,0.0,1.0
patient098,0.0,0.0,0.0,1.0
patient099,1.0,1.0,1.0,1.0
patient100,1.0,1.0,1.0,2.0
patient101,1.0,1.0,1.0,1.0
patient102,1.0,1.0,1.0,2.0
patient106,1.0,1.0,1.0,1.0
patient107,1.0,1.0,1.0,1.0
patient109,1.0,1.0,1.0,1.0
patient110,1.0,1.0,1.0,1.0
patient111,1.0,1.0,1.0,4.0
patient113,1.0,1.0,1.0,1.0
patient114,1.0,1.0,1.0,3.0
patient117,1.0,0.5,0.6666666666666666,2.0
patient118,1.0,1.0,1.0,1.0
patient121,1.0,1.0,1.0,1.0
patient122,1.0,1.0,1.0,2.0
patient123,1.0,1.0,1.0,2.0
patient126,1.0,1.0,1.0,2.0
patient127,1.0,1.0,1.0,1.0
patient128,1.0,1.0,1.0,2.0
patient130,1.0,1.0,1.0,2.0
patient131,0.5,1.0,0.6666666666666666,1.0
patient133,1.0,1.0,1.0,2.0
patient135,1.0,1.0,1.0,1.0
patient136,1.0,1.0,1.0,1.0
patient137,1.0,1.0,1.0,1.0
patient138,1.0,1.0,1.0,1.0
patient140,1.0,1.0,1.0,1.0
patient142,1.0,1.0,1.0,2.0
patient143,1.0,1.0,1.0,1.0
patient144,1.0,1.0,1.0,1.0
patient145,1.0,1.0,1.0,1.0
patient146,1.0,1.0,1.0,1.0
patient147,1.0,1.0,1.0,1.0
patient149,1.0,1.0,1.0,2.0
patient151,1.0,1.0,1.0,2.0
patient153,1.0,1.0,1.0,2.0
patient155,1.0,1.0,1.0,1.0
patient156,1.0,1.0,1.0,2.0
patient157,1.0,1.0,1.0,1.0
patient158,1.0,1.0,1.0,3.0
patient159,1.0,1.0,1.0,1.0
patient160,1.0,1.0,1.0,2.0
patient162,1.0,1.0,1.0,3.0
patient168,1.0,1.0,1.0,2.0
patient169,1.0,1.0,1.0,2.0
patient170,1.0,1.0,1.0,2.0
patient171,1.0,1.0,1.0,3.0
patient172,1.0,1.0,1.0,1.0
patient174,0.6666666666666666,1.0,0.8,2.0
patient176,1.0,1.0,1.0,2.0
patient179,1.0,1.0,1.0,2.0
patient180,0.0,0.0,0.0,0.0
patient182,1.0,1.0,1.0,1.0
patient183,1.0,1.0,1.0,1.0
patient184,0.5,1.0,0.6666666666666666,1.0
patient187,1.0,1.0,1.0,1.0
patient189,1.0,1.0,1.0,3.0
patient190,1.0,1.0,1.0,2.0
patient191,0.5,1.0,0.6666666666666666,1.0
patient192,1.0,1.0,1.0,2.0
patient194,1.0,1.0,1.0,1.0
patient195,0.5,1.0,0.6666666666666666,1.0
patient196,1.0,1.0,1.0,1.0
patient197,0.3333333333333333,1.0,0.5,1.0
patient199,1.0,1.0,1.0,1.0
patient200,1.0,1.0,1.0,1.0
patient201,1.0,1.0,1.0,2.0
patient202,1.0,1.0,1.0,2.0
patient203,1.0,1.0,1.0,2.0
patient205,1.0,1.0,1.0,3.0
patient206,1.0,1.0,1.0,1.0
patient208,1.0,1.0,1.0,2.0
patient210,1.0,1.0,1.0,1.0
patient211,1.0,1.0,1.0,2.0
patient212,1.0,1.0,1.0,3.0
patient213,1.0,1.0,1.0,2.0
patient217,1.0,1.0,1.0,3.0
patient218,1.0,1.0,1.0,1.0
patient220,0.75,1.0,0.8571428571428571,3.0
patient223,1.0,1.0,1.0,2.0
patient225,1.0,1.0,1.0,2.0
patient226,1.0,1.0,1.0,3.0
patient228,1.0,1.0,1.0,1.0
patient230,1.0,1.0,1.0,1.0
patient231,0.5,1.0,0.6666666666666666,1.0
patient233,1.0,0.5,0.6666666666666666,2.0
patient234,1.0,1.0,1.0,2.0
patient235,1.0,1.0,1.0,1.0
patient236,1.0,1.0,1.0,1.0
patient237,1.0,1.0,1.0,1.0
patient238,1.0,1.0,1.0,1.0
patient239,1.0,1.0,1.0,2.0
patient241,1.0,1.0,1.0,1.0
patient242,1.0,1.0,1.0,3.0
patient245,0.5,1.0,0.6666666666666666,1.0
patient246,1.0,1.0,1.0,1.0
patient247,0.0,0.0,0.0,0.0
patient248,1.0,1.0,1.0,1.0
patient249,0.5,1.0,0.6666666666666666,1.0
patient251,1.0,1.0,1.0,2.0
patient252,1.0,1.0,1.0,1.0
patient253,1.0,1.0,1.0,3.0
patient254,1.0,1.0,1.0,1.0
patient255,1.0,1.0,1.0,1.0
patient259,1.0,1.0,1.0,2.0
patient260,1.0,1.0,1.0,1.0
patient261,1.0,1.0,1.0,1.0
patient263,1.0,1.0,1.0,1.0
patient264,1.0,1.0,1.0,2.0
patient265,1.0,1.0,1.0,2.0
patient266,1.0,1.0,1.0,1.0
patient269,1.0,1.0,1.0,1.0
patient271,1.0,1.0,1.0,3.0
patient273,1.0,1.0,1.0,1.0
patient274,1.0,1.0,1.0,1.0
patient275,1.0,1.0,1.0,1.0
patient276,1.0,1.0,1.0,1.0
patient277,1.0,1.0,1.0,2.0
patient278,0.0,0.0,0.0,1.0
patient279,1.0,0.6666666666666666,0.8,3.0
patient280,1.0,1.0,1.0,1.0
patient281,1.0,1.0,1.0,2.0
patient283,1.0,1.0,1.0,1.0
patient284,1.0,1.0,1.0,1.0
patient286,1.0,1.0,1.0,2.0
patient288,1.0,1.0,1.0,2.0
patient289,1.0,1.0,1.0,1.0
patient290,1.0,1.0,1.0,1.0
patient291,1.0,1.0,1.0,3.0
patient292,1.0,1.0,1.0,1.0
patient293,1.0,1.0,1.0,1.0
patient294,1.0,1.0,1.0,2.0
accuracy,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873
macro avg,0.8292282430213466,0.8563218390804597,0.830940652122918,315.0
weighted avg,0.8645502645502645,0.873015873015873,0.8582312925170068,315.0
